iter	Passed	Remaining
674	4472	2153
675	4477	2146
676	4483	2139
677	4488	2131
678	4494	2124
679	4500	2117
680	4506	2110
681	4513	2104
682	4519	2097
683	4525	2090
684	4532	2084
685	4538	2077
686	4558	2076
687	4564	2070
688	4570	2062
689	4577	2056
690	4583	2049
691	4589	2042
692	4595	2035
693	4601	2028
694	4606	2021
695	4613	2015
696	4619	2008
697	4627	2002
698	4633	1995
699	4639	1988
700	4646	1981
701	4651	1974
702	4658	1968
703	4665	1961
704	4670	1954
705	4677	1947
706	4683	1940
707	4689	1934
708	4696	1927
709	4702	1920
710	4709	1914
711	4715	1907
712	4720	1900
713	4727	1893
714	4733	1886
715	4738	1879
716	4745	1872
717	4751	1866
718	4758	1859
719	4763	1852
720	4769	1845
721	4775	1838
722	4781	1831
723	4787	1824
724	4793	1818
725	4799	1811
726	4805	1804
727	4811	1797
728	4818	1791
729	4825	1784
730	4831	1778
731	4838	1771
732	4844	1764
733	4850	1757
734	4855	1750
735	4863	1744
736	4869	1737
737	4876	1731
738	4882	1724
739	4889	1717
740	4894	1710
741	4901	1704
742	4907	1697
743	4913	1690
744	4919	1683
745	4925	1676
746	4931	1670
747	4937	1663
748	4942	1656
749	4948	1649
750	4955	1642
751	4961	1636
752	4967	1629
753	4973	1622
754	4980	1616
755	4986	1609
756	4992	1602
757	4998	1595
758	5004	1589
759	5011	1582
760	5017	1575
761	5023	1569
762	5030	1562
763	5036	1555
764	5043	1549
765	5049	1542
766	5056	1536
767	5063	1529
768	5069	1522
769	5075	1515
770	5081	1509
771	5088	1502
772	5094	1496
773	5100	1489
774	5106	1482
775	5112	1475
776	5119	1469
777	5125	1462
778	5131	1455
779	5137	1449
780	5143	1442
781	5150	1435
782	5156	1429
783	5163	1422
784	5169	1415
785	5176	1409
786	5183	1402
787	5189	1396
788	5195	1389
789	5201	1382
790	5207	1375
791	5213	1369
792	5220	1362
793	5226	1355
794	5233	1349
795	5240	1342
796	5246	1336
797	5252	1329
798	5258	1322
799	5267	1316
800	5274	1310
801	5282	1304
802	5288	1297
803	5294	1290
804	5302	1284
805	5308	1277
806	5315	1271
807	5321	1264
808	5328	1258
809	5334	1251
810	5340	1244
811	5348	1238
812	5355	1231
813	5363	1225
814	5370	1219
815	5376	1212
816	5382	1205
817	5388	1198
818	5395	1192
819	5401	1185
820	5408	1179
821	5414	1172
822	5420	1165
823	5427	1159
824	5434	1152
825	5439	1145
826	5447	1139
827	5453	1132
828	5459	1126
829	5466	1119
830	5472	1112
831	5478	1106
832	5484	1099
833	5491	1092
834	5497	1086
835	5503	1079
836	5510	1073
837	5516	1066
838	5523	1059
839	5529	1053
840	5535	1046
841	5542	1040
842	5549	1033
843	5555	1026
844	5562	1020
845	5569	1013
846	5575	1007
847	5582	1000
848	5589	994
849	5596	987
850	5602	980
851	5608	974
852	5614	967
853	5626	961
854	5634	955
855	5641	948
856	5647	942
857	5654	935
858	5660	929
859	5666	922
860	5671	915
861	5677	908
862	5683	902
863	5690	895
864	5695	888
865	5701	882
866	5707	875
867	5713	868
868	5720	862
869	5727	855
870	5734	849
871	5739	842
872	5745	835
873	5751	829
874	5756	822
875	5762	815
876	5768	809
877	5775	802
878	5781	795
879	5787	789
880	5793	782
881	5799	775
882	5805	769
883	5811	762
884	5817	755
885	5823	749
886	5829	742
887	5836	736
888	5843	729
889	5851	723
890	5856	716
891	5862	709
892	5868	703
893	5873	696
894	5879	689
895	5885	683
896	5891	676
897	5897	669
898	5904	663
899	5910	656
900	5916	650
901	5922	643
902	5929	636
903	5936	630
904	5942	623
905	5949	617
906	5956	610
907	5962	604
908	5969	597
909	5977	591
910	5984	584
911	5991	578
912	5998	571
913	6005	565
914	6011	558
915	6018	551
916	6024	545
917	6031	538
918	6037	532
919	6043	525
920	6050	518
921	6056	512
922	6063	505
923	6070	499
924	6076	492
925	6083	486
926	6090	479
927	6097	473
928	6103	466
929	6110	459
930	6117	453
931	6124	446
932	6130	440
933	6137	433
934	6143	427
935	6149	420
936	6155	413
937	6162	407
938	6169	400
939	6176	394
940	6183	387
941	6189	381
942	6198	374
943	6204	368
944	6211	361
945	6217	354
946	6222	348
947	6228	341
948	6234	335
949	6241	328
950	6247	321
951	6253	315
952	6259	308
953	6265	302
954	6271	295
955	6276	288
956	6282	282
957	6288	275
958	6294	269
959	6300	262
960	6307	255
961	6313	249
962	6320	242
963	6326	236
964	6332	229
965	6337	223
966	6344	216
967	6350	209
968	6356	203
969	6362	196
970	6368	190
971	6375	183
972	6380	177
973	6386	170
974	6393	163
975	6399	157
976	6405	150
977	6412	144
978	6418	137
979	6424	131
980	6430	124
981	6436	117
982	6442	111
983	6447	104
984	6454	98
985	6460	91
986	6465	85
987	6472	78
